Brand,Model,Efficiency (kWh/mile),Precio (USD),Inversión Inicial Total (USD),VNA (USD),TIR (%),ROI (%),ROI Mensualizado(%),IR (USD),Payback Period (Años)
SEAT ,Mii Electric ,0.028031866672200003,21336.7,22431.74,24883.2,41.11,110.93,1.32,13.9,3
Smart ,EQ fortwo coupe,0.0282007333389,22670.2,23765.22,23548.4,38.05,99.09,1.18,13.12,3
Volkswagen ,e-Up! ,0.028031866672200003,22706.3,23801.260000000002,23513.7,37.97,98.79,1.18,13.1,3
Smart ,EQ forfour ,0.0297205333392,23351.8,24446.800000000003,22855.7,36.58,93.49,1.11,12.75,3
Skoda ,CITIGOe iV ,0.028031866672200003,26006.0,27101.04,20213.9,31.57,74.59,0.89,11.5,4
Smart ,EQ fortwo cabrio,0.0297205333392,26038.9,27133.9,20168.6,31.5,74.33,0.88,11.49,4
Renault ,Twingo ZE,0.0276941333388,26277.4,27372.4,19945.0,31.11,72.87,0.87,11.39,4
Sono ,Sion ,0.0263432000052,27030.0,28125.0,19202.4,29.87,68.28,0.81,11.08,4
Opel ,Corsa-e ,0.0276941333388,30894.8,31989.760000000002,15327.6,24.26,47.91,0.57,9.75,4
Renault ,Zoe ZE40 R110,0.027187533338700002,30988.0,32083.04,15238.1,24.14,47.5,0.57,9.72,4
Nissan ,Leaf ,0.0276941333388,30988.0,32083.04,15234.4,24.14,47.48,0.57,9.72,4
Peugeot ,e-208 ,0.0276941333388,31462.9,32557.920000000002,14759.5,23.53,45.33,0.54,9.58,4
Volkswagen ,ID.3 Pure,0.0282007333389,31800.0,32895.0,14418.7,23.11,43.83,0.52,9.48,4
MG ,ZS EV,0.0325912666731,31800.0,32895.0,14386.3,23.08,43.73,0.52,9.48,4
Renault ,Zoe ZE50 R110,0.027863000005500002,33055.0,34150.04,13166.1,21.61,38.55,0.46,9.13,5
Mini ,Cooper SE ,0.0263432000052,33581.9,34676.86,12650.5,21.01,36.48,0.43,8.99,5
Volkswagen ,e-Golf ,0.0283696000056,33814.0,34909.0,12403.4,20.74,35.53,0.42,8.93,5
Mazda ,MX-30 ,0.0300582666726,34604.8,35699.76,11600.2,19.86,32.49,0.39,8.73,5
Honda ,e ,0.0283696000056,34976.8,36071.82,11240.6,19.48,31.16,0.37,8.64,5
Volkswagen ,ID.3 Pro,0.028031866672200003,34980.0,36075.0,11239.9,19.47,31.16,0.37,8.64,5
Renault ,Zoe ZE50 R135,0.0283696000056,35121.0,36215.98,11096.4,19.32,30.64,0.36,8.61,5
Kia ,e-Soul 39 kWh,0.028707333339000003,35121.0,36215.98,11094.0,19.32,30.63,0.36,8.61,5
Nissan ,e-NV200 Evalia ,0.03377333334,35240.8,36335.76,10936.9,19.17,30.1,0.36,8.58,5
Hyundai ,Kona Electric 39 kWh,0.0260054666718,36009.3,37104.26,10225.6,18.42,27.56,0.33,8.4,5
Peugeot ,e-2008 SUV ,0.030396000006,36422.7,37517.66,9779.8,17.98,26.07,0.31,8.31,5
Kia ,e-Niro 39 kWh,0.0282007333389,36464.0,37559.0,9754.7,17.96,25.97,0.31,8.3,5
Hyundai ,IONIQ Electric,0.025836600005099998,36526.5,37621.54,9709.5,17.91,25.81,0.31,8.29,5
Fiat ,500e Hatchback,0.0283696000056,36994.0,38089.0,9223.4,17.44,24.22,0.29,8.18,5
Opel ,Mokka-e ,0.0297205333392,37100.0,38195.0,9107.5,17.33,23.84,0.28,8.16,5
Skoda ,Enyaq iV 50,0.030227133339299998,37100.0,38195.0,9103.7,17.32,23.83,0.28,8.16,5
Volkswagen ,ID.3 Pro Performance,0.0288762000057,37709.5,38804.5,8504.2,16.75,21.92,0.26,8.03,5
Honda ,e Advance,0.0283696000056,38076.3,39171.26,8141.2,16.42,20.78,0.25,7.96,5
Aiways ,U5 ,0.0317469333396,38220.4,39315.420000000006,7972.1,16.27,20.28,0.24,7.93,5
Kia ,e-Soul 64 kWh,0.029551666672499997,39047.2,40142.22,7161.5,15.53,17.84,0.21,7.77,5
Nissan ,Leaf e+,0.029045066672399998,39471.2,40566.22,6741.2,15.16,16.62,0.2,7.68,5
DS ,3 Crossback E-Tense,0.030396000006,39667.3,40762.32,6535.2,14.99,16.03,0.19,7.65,5
Skoda ,Enyaq iV 60,0.0305648666727,39750.0,40845.0,6451.3,14.91,15.79,0.19,7.63,5
Fiat ,500e Convertible,0.0283696000056,40174.0,41269.0,6043.4,14.57,14.64,0.17,7.55,5
BMW ,i3 120 Ah,0.027187533338700002,40298.0,41393.020000000004,5928.1,14.47,14.32,0.17,7.53,5
Renault ,Kangoo Maxi ZE 33,0.032760133339800004,40280.0,41375.0,5905.1,14.45,14.27,0.17,7.53,5
Kia ,e-Niro 64 kWh,0.0292139333391,40391.3,41486.3,5819.9,14.38,14.03,0.17,7.51,5
Volkswagen ,ID.3 1st,0.0288762000057,41326.2,42421.22,4887.5,13.61,11.52,0.14,7.35,6
Citroen ,e-C4 ,0.030396000006,42400.0,43495.0,3802.5,12.75,8.74,0.1,7.17,6
Skoda ,Enyaq iV 80,0.030902600006099998,42400.0,43495.0,3798.8,12.75,8.73,0.1,7.17,6
Hyundai ,Kona Electric 64 kWh,0.027018666672,43242.7,44337.700000000004,2984.7,12.13,6.73,0.08,7.03,6
Volkswagen ,ID.3 Pro S,0.029551666672499997,43392.2,44487.16,2816.6,12.0,6.33,0.08,7.01,6
BMW ,i3s 120 Ah,0.027863000005500002,44017.6,45112.560000000005,2203.6,11.55,4.88,0.06,6.91,6
Opel ,Ampera-e ,0.0292139333391,44420.4,45515.36,1790.8,11.25,3.93,0.05,6.85,6
Mercedes ,EQA ,0.0288762000057,47700.0,48795.0,-1486.3,9.02,-3.05,-0.04,6.39,6
CUPRA ,el-Born ,0.0305648666727,47700.0,48795.0,-1498.7,9.01,-3.07,-0.04,6.39,6
Volkswagen ,ID.4 ,0.030902600006099998,47700.0,48795.0,-1501.2,9.01,-3.08,-0.04,6.39,6
Nissan ,Ariya 63kWh,0.0322535333397,47700.0,48795.0,-1511.2,9.0,-3.1,-0.04,6.39,6
Skoda ,Enyaq iV 80X,0.0325912666731,47700.0,48795.0,-1513.7,9.0,-3.1,-0.04,6.39,6
Tesla ,Cybertruck Single Motor,0.0432298666752,47700.0,48795.0,-1592.0,8.95,-3.26,-0.04,6.39,6
Tesla ,Model 3 Standard Range Plus,0.025836600005099998,49162.8,50257.8,-2926.7,8.11,-5.82,-0.07,6.2,7
Ford ,Mustang Mach-E SR RWD,0.032760133339800004,49714.0,50809.0,-3528.9,7.75,-6.95,-0.08,6.14,7
Skoda ,Enyaq iV vRS,0.0325912666731,50350.0,51445.0,-4163.7,7.37,-8.09,-0.1,6.06,7
Lexus ,UX 300e,0.0325912666731,53000.0,54095.0,-6813.7,5.86,-12.6,-0.15,5.76,7
Nissan ,Ariya e-4ORCE 63kWh,0.032760133339800004,53000.0,54095.0,-6814.9,5.86,-12.6,-0.15,5.76,7
Nissan ,Ariya 87kWh,0.0334356000066,53000.0,54095.0,-6819.9,5.86,-12.61,-0.15,5.76,7
Byton ,M-Byte 72 kWh 2WD,0.0374884000074,56710.0,57805.0,-10559.7,3.92,-18.27,-0.22,5.39,7
Ford ,Mustang Mach-E SR AWD,0.0347865333402,57240.0,58335.0,-11069.8,3.67,-18.98,-0.23,5.34,7
Ford ,Mustang Mach-E ER RWD,0.03377333334,57743.5,58838.5,-11565.9,3.44,-19.66,-0.23,5.3,No recuperado en 7 años
Audi ,Q4 e-tron ,0.0325912666731,58300.0,59395.0,-12113.7,3.18,-20.4,-0.24,5.25,No recuperado en 7 años
Tesla ,Cybertruck Dual Motor,0.0440742000087,58300.0,59395.0,-12198.3,3.13,-20.54,-0.24,5.25,No recuperado en 7 años
Tesla ,Model 3 Long Range Dual Motor,0.027187533338700002,58808.8,59903.8,-12582.7,2.96,-21.0,-0.25,5.2,No recuperado en 7 años
Polestar ,2,0.0305648666727,59826.4,60921.4,-13625.1,2.48,-22.37,-0.27,5.12,No recuperado en 7 años
Audi ,Q4 Sportback e-tron ,0.0317469333396,60950.0,62045.0,-14757.5,1.97,-23.79,-0.28,5.02,No recuperado en 7 años
Nissan ,Ariya e-4ORCE 87kWh,0.0349554000069,60950.0,62045.0,-14781.1,1.96,-23.82,-0.28,5.02,No recuperado en 7 años
Tesla ,Model Y Long Range Dual Motor,0.0288762000057,62137.2,63232.200000000004,-15923.5,1.47,-25.18,-0.3,4.93,No recuperado en 7 años
Volvo ,XC40 P8 AWD Recharge,0.03377333334,64063.2,65158.22,-17885.6,0.65,-27.45,-0.33,4.78,No recuperado en 7 años
Tesla ,Model 3 Long Range Performance,0.0282007333389,65168.8,66263.8,-18950.1,0.22,-28.6,-0.34,4.7,No recuperado en 7 años
Byton ,M-Byte 95 kWh 2WD,0.040190266674599996,65720.0,66815.0,-19589.7,-0.04,-29.32,-0.35,4.67,No recuperado en 7 años
Ford ,Mustang Mach-E ER AWD,0.0352931333403,66674.0,67769.0,-20507.6,-0.39,-30.26,-0.36,4.6,No recuperado en 7 años
Byton ,M-Byte 95 kWh 4WD,0.0412034666748,67840.0,68935.0,-21717.1,-0.86,-31.5,-0.38,4.52,No recuperado en 7 años
BMW ,i4 ,0.0300582666726,68900.0,69995.0,-22695.0,-1.2,-32.42,-0.39,4.45,No recuperado en 7 años
Nissan ,Ariya e-4ORCE 87kWh Performance,0.039177066674400005,68900.0,69995.0,-22762.2,-1.24,-32.52,-0.39,4.45,No recuperado en 7 años
Tesla ,Model Y Long Range Performance,0.0298894000059,69557.2,70652.2,-23351.0,-1.44,-33.05,-0.39,4.41,No recuperado en 7 años
Audi ,e-tron 50 quattro,0.0390082000077,71399.5,72494.48000000001,-25260.4,-2.13,-34.84,-0.41,4.3,No recuperado en 7 años
BMW ,iX3 ,0.0347865333402,72122.4,73217.40000000001,-25952.2,-2.36,-35.45,-0.42,4.26,No recuperado en 7 años
Mercedes ,EQC 400 4MATIC,0.0364752000072,73653.0,74748.04000000001,-27495.3,-2.88,-36.78,-0.44,4.17,No recuperado en 7 años
Audi ,e-tron Sportback 50 quattro,0.0369818000073,73724.1,74819.06,-27570.1,-2.91,-36.85,-0.44,4.17,No recuperado en 7 años
Mercedes ,EQV 300 Long,0.046100600009100004,74868.9,75963.86,-28782.0,-3.32,-37.89,-0.45,4.1,No recuperado en 7 años
Tesla ,Cybertruck Tri Motor,0.045087400008900005,79500.0,80595.0,-33405.7,-4.74,-41.45,-0.49,3.87,No recuperado en 7 años
Jaguar ,I-Pace ,0.039177066674400005,79872.1,80967.06,-33734.2,-4.83,-41.66,-0.5,3.85,No recuperado en 7 años
Audi ,e-tron 55 quattro,0.0400214000079,84211.7,85306.7,-38080.1,-6.05,-44.64,-0.53,3.65,No recuperado en 7 años
