industry,column,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mae,mape,smape,mse,rmse,training time
FHV - High Volume,total_trips,0.05,0.01,multiplicative,415220.9080597982,2.1054958143456837,2.122860103301045,281961271976.43616,531000.2560982774,0.6308944225311279
FHV - High Volume,unique_vehicles,0.05,0.05,multiplicative,1014.6798786736157,1.2247477696985591,1.228175168856841,1954184.1618040719,1397.9213718246358,0.7893779277801514
FHV - High Volume,avg_hours_per_day_per_driver,0.2,5.0,multiplicative,0.08555676660960354,1.3550236214122124,1.3604232523780928,0.010195752377974711,0.10097401833132477,27.83942151069641
FHV - High Volume,total_amount,0.15,0.01,multiplicative,12934587.618635133,2.833371767887516,2.8571516828858416,247185825614444.62,15722144.434346246,0.6749696731567383
FHV - High Volume,total_co2_emission,0.2,0.05,additive,661.0193764031847,2.073827006591619,2.0910373347732714,712966.2137915295,844.3732668621914,0.633760929107666
Yellow Taxi,total_trips,0.05,0.05,additive,228076.61992708678,7.001079108313696,7.241795374761383,71860818520.0269,268068.6824678088,0.6717760562896729
Yellow Taxi,unique_vehicles,0.15,0.05,additive,78.04279595394958,0.8737871898687195,0.8749754300825762,11648.199964436959,107.92682689876952,27.178487062454224
Yellow Taxi,avg_hours_per_day_per_driver,0.01,0.01,multiplicative,0.18404283217361747,2.5957153406908473,2.6308281830548372,0.0489327466935833,0.22120747431672216,0.7847349643707275
Yellow Taxi,total_amount,0.15,0.1,multiplicative,7960086.259868349,10.068256668644215,9.462127776991043,81483879767642.58,9026842.181385614,0.6019220352172852
Yellow Taxi,total_co2_emission,0.1,0.05,multiplicative,134.0434214853698,3.7729656359809787,3.7751465788271252,27572.006306613883,166.04820476781398,0.5989890098571777
Green Taxi,total_trips,0.01,0.01,additive,1381.9033927293742,2.239345480668879,2.286030040660868,3577322.36812271,1891.3810742742219,0.4699552059173584
Green Taxi,unique_vehicles,0.05,0.01,multiplicative,13.621886044469884,1.784924468092432,1.7769784271538118,239.1687047916738,15.465080174110764,0.5761737823486328
Green Taxi,avg_hours_per_day_per_driver,0.05,0.01,additive,0.0708663452258435,2.03459480963993,2.059783410606906,0.007917392739166794,0.08897973218192329,0.7041916847229004
Green Taxi,total_amount,0.1,0.05,multiplicative,62804.853015368564,4.96465024516178,4.99042318668443,4953072031.607789,70378.0649890844,0.5269639492034912
Green Taxi,total_co2_emission,0.1,0.05,multiplicative,3.8790599007009607,5.931139670421178,5.990271699588148,25.701427666042946,5.069657549188401,0.46637511253356934
FHV - Other,total_trips,0.15,0.01,additive,126216.23009041774,7.771662765791214,8.126840607017709,30400673456.21648,174357.88899908282,1.1001787185668945
FHV - Other,unique_vehicles,0.15,1.0,multiplicative,1457.8994221026278,8.306288351861639,8.395567427069887,3169272.2158625447,1780.244987596523,1.1594212055206299
FHV - Other,avg_hours_per_day_per_driver,0.01,0.1,multiplicative,0.1044157579174027,2.8322393046921923,2.831034935549788,0.013717514759956131,0.11712179455573643,0.49381184577941895
FHV - Other,total_co2_emission,0.05,0.01,multiplicative,161.22888180399858,5.175878902463591,5.511603095084855,67503.9900961657,259.8152999655057,0.6055669784545898
Total Mercado,total_trips,0.05,0.01,multiplicative,482897.82428432413,1.989542100005878,1.9749957692762987,381952770086.94904,618023.2763310368,0.5925703048706055
Total Mercado,unique_vehicles,0.15,0.1,additive,2073.8634944421415,1.9025078101899005,1.8890521093175998,6536509.521212372,2556.6598368207633,24.401429653167725
Total Mercado,avg_hours_per_day_per_driver,0.2,1.0,additive,0.08690110344139594,1.6964508650623216,1.7233044710870886,0.015562168302629928,0.12474842004061586,24.665109157562256
Total Mercado,total_amount,0.2,0.01,additive,16007240.679665932,2.9645661317885494,2.9881449793793124,349055088851798.3,18683016.05340525,1.0010871887207031
Total Mercado,total_co2_emission,0.15,0.05,additive,761.8424269921501,1.9845578671175212,1.987424728395794,850400.932979844,922.1718565320913,0.8928015232086182
FHV - High Volume,avg_trip_distance,0.05,0.01,multiplicative,0.053766473675694315,1.3233909129432806,1.31623460329475,0.003571978614488726,0.05976603227995586,0.6810016632080078
Yellow Taxi,avg_trip_distance,0.15,15.0,additive,0.09321670423187445,3.35542006050086,3.404433324881647,0.012369663934571345,0.11121899088991657,28.41291379928589
Green Taxi,avg_trip_distance,0.05,0.01,additive,0.06516924102797446,2.339028858703854,2.3665204831805147,0.005678704397215247,0.07535717880345075,1.092371940612793
FHV - Other,avg_trip_distance,0.05,0.1,multiplicative,0.15418728603966114,3.2964648247721224,3.3019293356676473,0.037050150095481994,0.1924841554400829,0.7982079982757568
Total Mercado,avg_trip_distance,0.2,0.05,additive,0.0422798069157971,1.1976481400124346,1.1864346840086895,0.003511527931850578,0.05925814654417212,0.7424564361572266
