Unnamed: 0,date,industry,trips_per_day,total_co2_emission,vehicles_per_day,total_trips,total_amount,farebox_per_day_per_distance,farebox_per_day,unique_vehicles,avg_trip_distance
0,2021-01-01,FHV - High Volume,383951,17332.2978,28584,11902481,191768840.69,1699251.6269,6186091.64,47594,3.64
3,2021-01-01,Yellow Taxi,44052,1326.4672,3256,1365612,21353048.0,283654.0383,688808.0,4625,2.43
6,2021-01-01,total industrias,467320,20424.6565,37733,14486920,214870567.69,1999212.4059000001,6931308.64,63329,13.16
1,2021-01-01,FHV - Other,36850,1660.0704,5402,1142350,,,,10128,3.63
2,2021-01-01,Green Taxi,2467,105.8211,491,76477,1748679.0,16306.7407,56409.0,982,3.46
4,2021-02-01,FHV - High Volume,414782,16725.9304,28639,11613896,207024499.21,2053578.6945,7393732.11,47272,3.6
5,2021-02-01,FHV - Other,37049,1465.1055,5144,1037372,,,,9529,3.53
6,2021-02-01,Green Taxi,2305,88.7261,446,64540,1463728.0,15210.376,52276.0,881,3.44
7,2021-02-01,Yellow Taxi,48499,1301.0696,3182,1357972,21143108.0,315254.3324,755111.0,4496,2.4
22,2021-02-01,total industrias,502635,19580.8316,37411,14073780,229631335.21,2384043.4029,8201119.11,62178,12.969999999999999
11,2021-03-01,Yellow Taxi,61643,1872.3436,3652,1910933,30353712.0,399733.002,979152.0,4719,2.45
38,2021-03-01,total industrias,566838,25288.0259,41711,17571978,294699629.64,2677335.4453999996,9506439.67,67783,13.43
10,2021-03-01,Green Taxi,2703,119.2732,483,83793,1934896.0,17539.6508,62416.0,932,3.56
9,2021-03-01,FHV - Other,43546,1981.5166,5937,1349926,,,,10371,3.67
8,2021-03-01,FHV - High Volume,458946,21314.8925,31639,14227326,262411021.64,2260062.7926,8464871.67,51761,3.75
54,2021-04-01,total industrias,588706,25594.0239,43801,17661180,316792217.54,2960900.3217,10559740.58,70384,13.79
12,2021-04-01,FHV - High Volume,470377,21265.8088,33360,14111310,279270077.54,2470862.4564,9309002.58,53748,3.77
15,2021-04-01,Yellow Taxi,71986,2168.2477,3889,2159580,35485350.0,471246.597,1182845.0,4924,2.51
14,2021-04-01,Green Taxi,2897,125.6026,515,86910,2036790.0,18791.2683,67893.0,928,3.61
13,2021-04-01,FHV - Other,43446,2034.3648,6037,1303380,,,,10784,3.9
17,2021-05-01,FHV - Other,42059,2014.2584,5840,1303829,,,,10592,3.86
18,2021-05-01,Green Taxi,2843,128.0209,517,88133,2032701.0,18056.3324,65571.0,952,3.63
19,2021-05-01,Yellow Taxi,80862,2574.6176,4113,2506722,42032528.0,528052.682,1355888.0,5238,2.57
70,2021-05-01,total industrias,600573,27419.0084,44874,18617763,359181764.63,3182342.5184000004,11586508.54,72894,13.92
16,2021-05-01,FHV - High Volume,474809,22702.1115,34404,14719079,315116535.63,2636233.504,10165049.54,56112,3.86
20,2021-06-01,FHV - High Volume,498685,23243.8214,36925,14960550,333300526.56,2860320.948,11110017.55,57863,3.88
22,2021-06-01,Green Taxi,2891,126.1818,531,86730,1974960.0,18099.6341,65832.0,975,3.64
23,2021-06-01,Yellow Taxi,94462,2957.3863,4577,2833860,48711660.0,622360.4811,1623722.0,5646,2.61
86,2021-06-01,total industrias,640776,28456.898100000002,48508,19223280,383987146.56,3500781.0631999997,12799571.55,76251,14.1
21,2021-06-01,FHV - Other,44738,2129.5086,6475,1342140,,,,11767,3.97
102,2021-07-01,total industrias,620353,28958.8166,47069,19230943,376901340.39,3266031.5693,12158107.75,76610,14.43
26,2021-07-01,Green Taxi,2698,126.1338,508,83638,1954457.0,16722.3256,63047.0,950,3.77
24,2021-07-01,FHV - High Volume,484745,23666.8719,36036,15027095,325189899.39,2664216.521,10489996.75,58607,3.94
25,2021-07-01,FHV - Other,41898,2069.9032,5894,1298838,,,,11271,3.98
27,2021-07-01,Yellow Taxi,91012,3095.9077,4631,2821372,49756984.0,585092.7227,1605064.0,5782,2.74
31,2021-08-01,Yellow Taxi,89924,3132.043,4700,2787644,50001946.0,574241.804,1612966.0,5888,2.81
28,2021-08-01,FHV - High Volume,467654,23198.3687,35257,14497274,313195308.55,2525471.3497,10103074.47,58754,4.0
29,2021-08-01,FHV - Other,40497,2068.3341,5713,1255407,,,,10927,4.12
118,2021-08-01,total industrias,600768,28527.6115,46179,18623808,365170993.55,3116211.8162000002,11779709.47,76495,14.79
30,2021-08-01,Green Taxi,2693,128.8657,509,83483,1973739.0,16498.6625,63669.0,926,3.86
134,2021-09-01,total industrias,636427,29085.4348,52112,19092810,390365908.93,3451933.0513,13012196.96,83624,14.68
32,2021-09-01,FHV - High Volume,496112,23816.6072,40404,14883360,333256828.93,2776763.4707,11108560.96,64572,4.0
35,2021-09-01,Yellow Taxi,98723,3300.3103,5069,2961690,54791280.0,655594.0563,1826376.0,6218,2.79
34,2021-09-01,Green Taxi,3190,151.0822,640,95700,2317800.0,19575.5243,77260.0,1173,3.95
33,2021-09-01,FHV - Other,38402,1817.4351,5999,1152060,,,,11661,3.94
39,2021-10-01,Yellow Taxi,111643,3683.1163,5555,3460933,61792424.0,749223.3226,1993304.0,6600,2.66
38,2021-10-01,Green Taxi,3574,160.1927,736,110794,2544852.0,22710.8982,82092.0,1251,3.61
37,2021-10-01,FHV - Other,40038,1988.4191,6333,1241178,,,,12070,4.01
36,2021-10-01,FHV - High Volume,533649,25578.6904,44408,16543119,345956184.71,2887077.7825,11159876.93,66935,3.87
150,2021-10-01,total industrias,688904,31410.4185,57032,21356024,410293460.71,3659012.0033,13235272.93,86856,14.15
166,2021-11-01,total industrias,694456,31252.8806,57914,20833680,400591538.94,3621825.52,13353051.3,87383,14.3
41,2021-11-01,FHV - Other,40471,1954.9664,6431,1214130,,,,11871,4.03
40,2021-11-01,FHV - High Volume,534718,25376.3002,44979,16041540,335039288.94,2823918.9632,11167976.3,67433,3.95
42,2021-11-01,Green Taxi,3607,156.2619,741,108210,2462250.0,22734.4922,82075.0,1269,3.61
43,2021-11-01,Yellow Taxi,115660,3765.3521,5763,3469800,63090000.0,775172.0646,2103000.0,6810,2.71
182,2021-12-01,total industrias,667838,31648.3774,57717,20702978,393925893.83,3413939.6409,12707286.9,90805,14.9
44,2021-12-01,FHV - High Volume,517884,25436.881,44289,16054404,332709976.83,2709533.0401,10732579.9,68257,3.96
45,2021-12-01,FHV - Other,43145,2497.4025,7066,1337495,,,,14408,4.67
46,2021-12-01,Green Taxi,3223,139.3053,705,99913,2196009.0,20322.9473,70839.0,1232,3.49
47,2021-12-01,Yellow Taxi,103586,3574.7886,5657,3211166,59019908.0,684083.6535,1903868.0,6908,2.78
48,2022-01-01,FHV - High Volume,475854,21592.7111,41326,14751474,269953248.77,2379661.0398,8708169.32,66855,3.66
198,2022-01-01,total industrias,593918,25992.4604,53062,18411458,312209007.77,2925458.2371,10071258.32,88456,13.06
51,2022-01-01,Yellow Taxi,79212,2446.8165,4989,2455572,41247856.0,534134.9018,1330576.0,6653,2.49
50,2022-01-01,Green Taxi,2016,69.6924,523,62496,1007903.0,11662.2955,32513.0,1136,2.79
49,2022-01-01,FHV - Other,36836,1883.2404,6224,1141916,,,,13812,4.12
214,2022-02-01,total industrias,725653,29250.1186,59788,20318284,370666398.93,3766598.4287,13238085.68,89335,13.41
52,2022-02-01,FHV - High Volume,572114,23977.4735,46279,16019192,318968850.93,3044299.8163,11391744.68,67536,3.74
55,2022-02-01,Yellow Taxi,106036,3029.1936,5591,2969008,50564024.0,707991.3064,1805858.0,6734,2.55
54,2022-02-01,Green Taxi,2478,78.5297,565,69384,1133524.0,14307.306,40483.0,1085,2.83
53,2022-02-01,FHV - Other,45025,2164.9218,7353,1260700,,,,13980,4.29
59,2022-03-01,Yellow Taxi,116628,3912.6495,5907,3615468,65016889.0,775207.6764,2097319.0,6984,2.71
58,2022-03-01,Green Taxi,2532,91.2413,553,78492,1316198.0,14610.1057,42458.0,1104,2.91
57,2022-03-01,FHV - Other,45127,2585.6968,7313,1398937,,,,13540,4.62
56,2022-03-01,FHV - High Volume,595270,28658.3417,48364,18453370,383597695.35,3187123.697,12374119.2,69702,3.88
230,2022-03-01,total industrias,759557,35247.9293,62137,23546267,449930782.35,3976941.4791,14513896.2,91330,14.120000000000001
62,2022-04-01,Green Taxi,2537,91.4547,546,76110,1308030.0,14514.1731,43601.0,1027,3.0
61,2022-04-01,FHV - Other,44377,2580.3194,7259,1331310,,,,13748,4.85
60,2022-04-01,FHV - High Volume,591746,28637.2394,48410,17752380,396243453.67,3275112.8773,13208115.12,70281,4.03
246,2022-04-01,total industrias,758287,35319.742399999996,62190,22748610,464124813.67,4083893.4261999996,15470827.12,92109,14.67
63,2022-04-01,Yellow Taxi,119627,4010.7289,5975,3588810,66573330.0,794266.3758,2219111.0,7053,2.79
262,2022-05-01,total industrias,744515,36815.958,61073,23079965,502402448.91,4148162.5215,16206530.61,92591,15.17
67,2022-05-01,Yellow Taxi,115896,4202.172,5961,3592776,69591404.0,767733.0138,2244884.0,7150,2.92
64,2022-05-01,FHV - High Volume,585714,30026.8569,47877,18157134,431418307.91,3366156.4236,13916719.61,71059,4.13
65,2022-05-01,FHV - Other,40423,2490.0538,6704,1253113,,,,13355,4.97
66,2022-05-01,Green Taxi,2482,96.8753,531,76942,1392737.0,14273.0841,44927.0,1027,3.15
69,2022-06-01,FHV - Other,40148,2325.3767,6784,1204440,,,,13087,4.83
68,2022-06-01,FHV - High Volume,592656,29355.0022,49341,17779680,408815243.29,3301472.1715,13627174.78,71552,4.13
70,2022-06-01,Green Taxi,2456,93.2771,527,73680,1340700.0,14120.337,44690.0,1004,3.16
71,2022-06-01,Yellow Taxi,118213,4149.1592,6136,3546390,68865330.0,784812.2336,2295511.0,7246,2.92
278,2022-06-01,total industrias,753473,35922.8152,62788,22604190,479021273.29,4100404.7421000004,15967375.78,92889,15.04
294,2022-07-01,total industrias,704784,34831.9021,59338,21848304,433764286.63,3594208.8811,13992396.34,92462,15.09
75,2022-07-01,Yellow Taxi,102052,3650.0746,5702,3163612,59575335.0,666263.8788,1921785.0,7156,2.88
73,2022-07-01,FHV - Other,37309,2275.0533,6370,1156579,,,,13323,4.92
72,2022-07-01,FHV - High Volume,563353,28825.6203,46799,17463943,373030698.63,2916127.5425,12033248.34,71043,4.13
74,2022-07-01,Green Taxi,2070,81.1539,467,64170,1158253.0,11817.4598,37363.0,940,3.16
76,2022-08-01,FHV - High Volume,554361,28796.7434,46996,17185191,369813142.98,2847682.8917,11929456.23,70497,4.19
77,2022-08-01,FHV - Other,37156,2355.7198,6289,1151836,,,,12439,5.11
78,2022-08-01,Green Taxi,2126,83.5512,475,65906,1206303.0,12277.9755,38913.0,924,3.17
79,2022-08-01,Yellow Taxi,101327,3711.1405,5823,3141137,59469222.0,649486.3707,1918362.0,7169,2.95
310,2022-08-01,total industrias,694970,34947.1549,59583,21544070,430488667.98,3509447.2379,13886731.23,91029,15.420000000000002
326,2022-09-01,total industrias,741985,36405.4764,63243,22259550,478432015.45,3983901.8431,15947733.85,94164,15.54
80,2022-09-01,FHV - High Volume,593114,29987.5918,49980,17793420,413830885.45,3274006.0442,13794362.85,72616,4.21
81,2022-09-01,FHV - Other,40654,2478.2231,6767,1219620,,,,13240,5.08
82,2022-09-01,Green Taxi,2300,88.9301,491,69000,1314150.0,13595.1448,43805.0,928,3.22
83,2022-09-01,Yellow Taxi,105917,3850.7314,6005,3177510,63286980.0,696300.6541,2109566.0,7380,3.03
87,2022-10-01,Yellow Taxi,118197,4207.9424,6442,3664107,71360605.0,801779.9382,2301955.0,7585,2.87
84,2022-10-01,FHV - High Volume,622770,31122.5826,51532,19305870,431627075.43,3454782.6163,13923454.05,73747,4.03
