industry,column,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mae,mape,smape,mse,rmse,training time
FHV - High Volume,total_trips,0.05,0.01,multiplicative,415220.9081,2.105495814,2.122860103,2.82E+11,531000.2561,0.630894423
FHV - High Volume,unique_vehicles,0.05,0.05,multiplicative,1014.679879,1.22474777,1.228175169,1954184.162,1397.921372,0.789377928
FHV - High Volume,total_amount,0.15,0.01,multiplicative,12934587.62,2.833371768,2.857151683,2.47E+14,15722144.43,0.674969673
FHV - High Volume,total_co2_emission,0.2,0.05,additive,661.0193764,2.073827007,2.091037335,712966.2138,844.3732669,0.633760929
FHV - High Volume,avg_trip_distance,0.05,0.01,multiplicative,0.053766474,1.323390913,1.316234603,0.003571979,0.059766032,0.681001663
FHV - Other,total_trips,0.15,0.01,additive,126216.2301,7.771662766,8.126840607,30400673456,174357.889,1.100178719
FHV - Other,unique_vehicles,0.15,1,multiplicative,1457.899422,8.306288352,8.395567427,3169272.216,1780.244988,1.159421206
FHV - Other,total_co2_emission,0.05,0.01,multiplicative,161.2288818,5.175878902,5.511603095,67503.9901,259.8153,0.605566978
FHV - Other,avg_trip_distance,0.05,0.1,multiplicative,0.154187286,3.296464825,3.301929336,0.03705015,0.192484155,0.798207998
Green Taxi,total_trips,0.01,0.01,additive,1381.903393,2.239345481,2.286030041,3577322.368,1891.381074,0.469955206
Green Taxi,unique_vehicles,0.05,0.01,multiplicative,13.62188604,1.784924468,1.776978427,239.1687048,15.46508017,0.576173782
Green Taxi,total_amount,0.1,0.05,multiplicative,62804.85302,4.964650245,4.990423187,4953072032,70378.06499,0.526963949
Green Taxi,total_co2_emission,0.1,0.05,multiplicative,3.879059901,5.93113967,5.9902717,25.70142767,5.069657549,0.466375113
Green Taxi,avg_trip_distance,0.05,0.01,additive,0.065169241,2.339028859,2.366520483,0.005678704,0.075357179,1.092371941
Total Mercado,total_trips,0.05,0.01,multiplicative,482897.8243,1.9895421,1.974995769,3.82E+11,618023.2763,0.592570305
Total Mercado,unique_vehicles,0.15,0.1,additive,2073.863494,1.90250781,1.889052109,6536509.521,2556.659837,24.40142965
Total Mercado,total_amount,0.2,0.01,additive,16007240.68,2.964566132,2.988144979,3.49E+14,18683016.05,1.001087189
Total Mercado,total_co2_emission,0.15,0.05,additive,761.842427,1.984557867,1.987424728,850400.933,922.1718565,0.892801523
Total Mercado,avg_trip_distance,0.2,0.05,additive,0.042279807,1.19764814,1.186434684,0.003511528,0.059258147,0.742456436
Yellow Taxi,total_trips,0.05,0.05,additive,228076.6199,7.001079108,7.241795375,71860818520,268068.6825,0.671776056
Yellow Taxi,unique_vehicles,0.15,0.05,additive,78.04279595,0.87378719,0.87497543,11648.19996,107.9268269,27.17848706
Yellow Taxi,total_amount,0.15,0.1,multiplicative,7960086.26,10.06825667,9.462127777,8.15E+13,9026842.181,0.601922035
Yellow Taxi,total_co2_emission,0.1,0.05,multiplicative,134.0434215,3.772965636,3.775146579,27572.00631,166.0482048,0.59898901
Yellow Taxi,avg_trip_distance,0.15,15,additive,0.093216704,3.355420061,3.404433325,0.012369664,0.111218991,28.4129138
