industry,column,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,mae,mape,smape,mse,rmse,training time
FHV - High Volume,total_trips,0.01,0.01,additive,1813119.8271565086,9.157912292964442,8.674769491065282,3977379025865.943,1994336.7383333093,0.8984901905059814
FHV - High Volume,total_trips,0.01,0.01,multiplicative,1864851.2136491218,9.402012518968238,8.904357192802257,4119491642098.347,2029653.0841743243,0.7635903358459473
FHV - High Volume,total_trips,0.01,0.05,additive,1817123.9931962707,9.163645205192541,8.679673386842847,4001639597455.3276,2000409.8573680664,1.1046326160430908
FHV - High Volume,total_trips,0.01,0.05,multiplicative,1871171.4199607905,9.405230506532599,8.900930510504995,4215741308672.383,2053227.0475211414,0.9320201873779297
FHV - High Volume,total_trips,0.01,0.1,additive,1843162.8392171543,9.296562236327643,8.801239898472803,4096082667275.766,2023878.125598418,0.7604479789733887
FHV - High Volume,total_trips,0.01,0.1,multiplicative,1883982.5404269665,9.469514263349863,8.961899417226691,4244575059961.568,2060236.6514460342,0.6601927280426025
FHV - High Volume,total_trips,0.01,1.0,additive,2064123.772858578,10.421196971694362,9.783628854254996,5297725707976.782,2301678.888980125,0.613898515701294
FHV - High Volume,total_trips,0.01,1.0,multiplicative,2177042.6979785953,10.95493855417331,10.273490413013073,5712283473337.423,2390038.383235178,0.7074477672576904
FHV - High Volume,total_trips,0.01,5.0,additive,2089326.6171592537,10.547824930385714,9.888459291975272,5484020052730.431,2341798.4654385676,0.8074054718017578
FHV - High Volume,total_trips,0.01,5.0,multiplicative,2257313.232044707,11.366210157600284,10.650763463636036,6015580868993.07,2452668.112279578,0.6815948486328125
FHV - High Volume,total_trips,0.01,10.0,additive,2086232.7738371466,10.532153154078731,9.874054135378332,5473076713021.964,2339460.773986596,0.7445664405822754
FHV - High Volume,total_trips,0.01,10.0,multiplicative,2270346.8661511187,11.431878890196263,10.711686512974566,6061455123761.265,2462002.2590893907,0.9441573619842529
FHV - High Volume,total_trips,0.01,15.0,additive,2084101.0790762566,10.521486843492406,9.864545820296035,5463057687904.374,2337318.4823434683,0.8721029758453369
FHV - High Volume,total_trips,0.01,15.0,multiplicative,2262703.971663702,11.393713053538255,10.675436176525892,6040907542056.382,2457825.7753665904,0.8025839328765869
FHV - High Volume,total_trips,0.01,20.0,additive,2080988.9458136691,10.506028950447506,9.85004168806224,5454576600678.995,2335503.5004638713,0.9235818386077881
FHV - High Volume,total_trips,0.01,20.0,multiplicative,2257550.9903794,11.367769406864259,10.652336122029705,6016229458430.664,2452800.3299149047,0.6275880336761475
FHV - High Volume,total_trips,0.05,0.01,additive,491475.9547400291,2.463068238485984,2.507818560871952,381016451352.2234,617265.3006222069,0.7201292514801025
FHV - High Volume,total_trips,0.05,0.01,multiplicative,415220.9080597982,2.1054958143456837,2.122860103301045,281961271976.43616,531000.2560982774,0.6308944225311279
FHV - High Volume,total_trips,0.05,0.05,additive,490490.59586176864,2.4662948836206287,2.5056146376167376,366118571331.49744,605077.3267372506,0.7187793254852295
FHV - High Volume,total_trips,0.05,0.05,multiplicative,496669.89560165565,2.5130541025914406,2.5575160406954542,395725134392.73505,629066.875930322,0.9439361095428467
FHV - High Volume,total_trips,0.05,0.1,additive,603562.3663808337,3.026816469651052,3.091988373380207,517848027050.3303,719616.5833625086,0.7102839946746826
FHV - High Volume,total_trips,0.05,0.1,multiplicative,491801.8738597594,2.4912103267448154,2.5310355859429374,359704252841.4749,599753.4933966412,0.6742668151855469
FHV - High Volume,total_trips,0.05,1.0,additive,656069.9785326567,3.3091134391988173,3.3944796435499685,672254953808.2465,819911.552430045,0.6678061485290527
FHV - High Volume,total_trips,0.05,1.0,multiplicative,628130.4367612457,3.1936861828612355,3.2666884708886292,602030862776.5197,775906.4781122269,0.9083895683288574
FHV - High Volume,total_trips,0.05,5.0,additive,538760.0800189333,2.728430196408374,2.774206540288513,472546126791.2045,687419.9057280816,0.9355959892272949
FHV - High Volume,total_trips,0.05,5.0,multiplicative,610677.2812718097,3.107897042509888,3.1778595736389477,585959342642.2754,765479.8120409678,0.7947423458099365
FHV - High Volume,total_trips,0.05,10.0,additive,660350.5054582829,3.331278079485573,3.419096016840966,688828799309.8795,829957.1069096761,0.5658252239227295
FHV - High Volume,total_trips,0.05,10.0,multiplicative,715665.5137314784,3.6327283677232196,3.7265964346741973,723937142052.8331,850844.957705476,0.6997814178466797
FHV - High Volume,total_trips,0.05,15.0,additive,655427.8812044548,3.306629464666582,3.392653321286048,677562512599.7006,823141.854481778,0.6697702407836914
FHV - High Volume,total_trips,0.05,15.0,multiplicative,700874.9344702577,3.5586459658078025,3.6492982146117554,702119274344.8756,837925.5780466876,0.6775631904602051
FHV - High Volume,total_trips,0.05,20.0,additive,545434.5620672746,2.7604029822352345,2.8082197148283474,487578852321.2973,698268.4672253913,0.8875067234039307
FHV - High Volume,total_trips,0.05,20.0,multiplicative,628504.2751042958,3.1963565065056527,3.270840950945875,612827220883.6752,782832.8179654167,0.7183802127838135
FHV - High Volume,total_trips,0.1,0.01,additive,536567.0635044178,2.687637982245192,2.740003136511593,425043726095.6814,651953.7760421988,0.7052421569824219
FHV - High Volume,total_trips,0.1,0.01,multiplicative,634957.5691999653,3.185636181193966,3.26403575698626,601487049786.7249,775555.9617375943,0.7952942848205566
FHV - High Volume,total_trips,0.1,0.05,additive,804777.2339475229,4.0318846781167785,4.1428194111082615,854395279788.4874,924335.0473656657,0.6327667236328125
FHV - High Volume,total_trips,0.1,0.05,multiplicative,717412.1591535062,3.60820857127721,3.704927135034467,735710371811.5415,857735.6071724792,0.909104585647583
FHV - High Volume,total_trips,0.1,0.1,additive,752763.9620022041,3.7723044353880124,3.8727233347772483,773652060374.4073,879574.9316427836,0.8365609645843506
FHV - High Volume,total_trips,0.1,0.1,multiplicative,769047.0864965528,3.8740573104906,3.9768757108150434,780681170966.3984,883561.6395964678,0.6669895648956299
FHV - High Volume,total_trips,0.1,1.0,additive,853486.8611511616,4.2997082524141685,4.4386779244756225,1049109016143.4552,1024260.2287228843,0.7132217884063721
FHV - High Volume,total_trips,0.1,1.0,multiplicative,979711.4354186524,4.961316595723917,5.124662901531637,1212968709309.4524,1101348.586647049,0.7926359176635742
FHV - High Volume,total_trips,0.1,5.0,additive,796169.423841121,4.011880340985936,4.136067194979679,941679166588.5571,970401.5491478551,0.7555110454559326
FHV - High Volume,total_trips,0.1,5.0,multiplicative,947356.1123750344,4.800166768173989,4.953826342532015,1142995026372.4463,1069109.454813887,0.9154922962188721
FHV - High Volume,total_trips,0.1,10.0,additive,597409.587195991,3.0184860935630584,3.0863685132058216,565286543680.5413,751855.4007789937,0.693676233291626
FHV - High Volume,total_trips,0.1,10.0,multiplicative,955139.1671791378,4.839246059531218,4.995570800301497,1161945424481.0002,1077935.723724286,0.8328781127929688
FHV - High Volume,total_trips,0.1,15.0,additive,808717.0955994675,4.075080359475831,4.20248759699458,965110090804.1532,982400.1683652916,0.74489426612854
FHV - High Volume,total_trips,0.1,15.0,multiplicative,740240.0423943283,3.7585775285714815,3.857170006184736,767355358253.445,875988.2181019589,0.8110020160675049
FHV - High Volume,total_trips,0.1,20.0,additive,883260.3672599742,4.450597777108387,4.598589422818897,1115652164595.8875,1056244.3678410253,0.9403901100158691
FHV - High Volume,total_trips,0.1,20.0,multiplicative,736701.1124984756,3.7424246427882544,3.836802825978181,741816750132.5688,861287.8439479852,0.7260031700134277
FHV - High Volume,total_trips,0.15,0.01,additive,566135.4085608168,2.8341908929695974,2.89296225857168,466418536101.34717,682948.4139386716,0.6939351558685303
FHV - High Volume,total_trips,0.15,0.01,multiplicative,715951.2151574368,3.591441294848291,3.684613617910663,714410851405.2122,845228.2836046201,0.8527853488922119
FHV - High Volume,total_trips,0.15,0.05,additive,830405.9411370404,4.160867217739299,4.275992812304898,887087574731.3531,941853.2660299868,0.8740034103393555
