;County Code;County;# Days with AQI;Good;Moderate;Unhealthy for Sensitive Groups;Unhealthy;Very Unhealthy;Hazardous;AQI Maximum;AQI 90th Percentile;AQI Median;# Days CO;# Days NO2;# Days O3;# Days PM2.5;# Days PM10
2021;36001;Albany County, NY;365;254;109;2;.;.;.;118;60;39;.;.;139;226;.
2021;36005;Bronx County, NY;365;214;143;7;1;.;.;156;68;47;.;13;104;248;.
2021;36013;Chautauqua County, NY;361;300;60;1;.;.;.;105;57;38;.;.;318;43;.
2021;36027;Dutchess County, NY;341;323;17;1;.;.;.;129;46;34;.;.;341;.;.
2021;36029;Erie County, NY;365;225;139;1;.;.;.;101;64;46;.;2;97;266;.
2021;36031;Essex County, NY;365;310;54;1;.;.;.;101;58;40;.;.;336;29;.
2021;36041;Hamilton County, NY;358;343;15;.;.;.;.;100;44;33;.;.;358;.;.
2021;36045;Jefferson County, NY;351;332;19;.;.;.;.;97;46;32;.;.;351;.;.
2021;36047;Kings County, NY;365;233;131;.;1;.;.;154;61;42;.;.;.;365;.
2021;36055;Monroe County, NY;365;239;126;.;.;.;.;100;61;43;.;.;128;237;.
2021;36059;Nassau County, NY;360;291;68;1;.;.;.;118;54;32;.;.;.;360;.
2021;36061;New York County, NY;365;245;113;6;1;.;.;155;63;43;.;.;143;222;.
2021;36063;Niagara County, NY;357;330;26;1;.;.;.;108;48;34;.;.;357;.;.
2021;36065;Oneida County, NY;347;311;35;1;.;.;.;107;51;25;.;.;.;347;.
2021;36067;Onondaga County, NY;365;279;85;1;.;.;.;113;58;39;.;.;179;186;.
2021;36071;Orange County, NY;364;294;69;1;.;.;.;149;56;37;.;.;200;164;.
2021;36075;Oswego County, NY;360;337;23;.;.;.;.;97;46;34;.;.;360;.;.
2021;36079;Putnam County, NY;353;334;18;1;.;.;.;112;47;35;.;.;353;.;.
2021;36081;Queens County, NY;365;215;141;8;1;.;.;154;67;47;.;11;106;248;.
2021;36085;Richmond County, NY;364;264;94;6;.;.;.;149;61;42;.;.;156;208;.
2021;36087;Rockland County, NY;362;314;47;.;1;.;.;155;53;37;.;.;235;127;.
2021;36091;Saratoga County, NY;354;339;15;.;.;.;.;93;45;31;.;.;354;.;.
2021;36101;Steuben County, NY;365;285;79;1;.;.;.;124;59;38;.;.;178;187;.
2021;36103;Suffolk County, NY;365;281;73;10;1;.;.;154;58;42;.;.;243;122;.
2021;36109;Tompkins County, NY;360;334;25;1;.;.;.;105;48;35;.;.;360;.;.
2021;36117;Wayne County, NY;354;333;21;.;.;.;.;100;47;33;.;.;354;.;.
2021;36119;Westchester County, NY;365;307;52;6;.;.;.;143;56;38;.;.;256;109;.
