;County Code;County;# Days with AQI;Good;Moderate;Unhealthy for Sensitive Groups;Unhealthy;Very Unhealthy;Hazardous;AQI Maximum;AQI 90th Percentile;AQI Median;# Days CO;# Days NO2;# Days O3;# Days PM2.5;# Days PM10
2019;36001;Albany County, NY;365;276;89;.;.;.;.;93;58;41;.;.;138;227;.
2019;36005;Bronx County, NY;365;212;150;3;.;.;.;115;66;46;.;24;110;231;.
2019;36013;Chautauqua County, NY;343;302;40;1;.;.;.;105;53;38;.;.;300;43;.
2019;36027;Dutchess County, NY;331;319;12;.;.;.;.;90;45;34;.;.;331;.;.
2019;36029;Erie County, NY;365;262;103;.;.;.;.;93;59;43;.;10;123;232;.
2019;36031;Essex County, NY;364;327;37;.;.;.;.;80;51;42;.;.;357;7;.
2019;36033;Franklin County, NY;177;177;.;.;.;.;.;49;42;31;.;.;177;.;.
2019;36041;Hamilton County, NY;323;321;2;.;.;.;.;54;44;35;.;.;323;.;.
2019;36043;Herkimer County, NY;185;185;.;.;.;.;.;45;37;29;.;.;185;.;.
2019;36045;Jefferson County, NY;205;198;7;.;.;.;.;64;46;35;.;.;205;.;.
2019;36047;Kings County, NY;365;280;85;.;.;.;.;78;55;36;.;.;.;365;.
2019;36055;Monroe County, NY;365;272;93;.;.;.;.;90;57;40;.;.;131;234;.
2019;36059;Nassau County, NY;360;308;52;.;.;.;.;72;53;29;.;.;.;360;.
2019;36061;New York County, NY;365;219;144;2;.;.;.;136;62;46;.;.;118;247;.
2019;36063;Niagara County, NY;352;339;13;.;.;.;.;80;44;34.5;.;.;352;.;.
2019;36065;Oneida County, NY;355;331;24;.;.;.;.;64;47;23;.;.;.;355;.
2019;36067;Onondaga County, NY;365;301;64;.;.;.;.;77;55;39;.;.;209;156;.
2019;36071;Orange County, NY;365;307;58;.;.;.;.;74;54;39;.;.;195;170;.
2019;36075;Oswego County, NY;321;316;5;.;.;.;.;67;45;34;.;.;321;.;.
2019;36079;Putnam County, NY;329;313;15;1;.;.;.;101;46;35;.;.;329;.;.
2019;36081;Queens County, NY;365;234;127;4;.;.;.;119;61;45;.;40;135;190;.
2019;36085;Richmond County, NY;365;275;90;.;.;.;.;97;60;41;.;.;172;193;.
2019;36087;Rockland County, NY;365;314;50;1;.;.;.;112;53;39;.;.;260;105;.
2019;36091;Saratoga County, NY;331;328;3;.;.;.;.;58;44;33;.;.;331;.;.
2019;36101;Steuben County, NY;365;315;50;.;.;.;.;69;53;37;.;.;196;169;.
2019;36103;Suffolk County, NY;365;276;80;9;.;.;.;150;64;43;.;.;255;110;.
2019;36109;Tompkins County, NY;356;349;7;.;.;.;.;61;45;35;.;.;356;.;.
2019;36117;Wayne County, NY;268;253;15;.;.;.;.;90;47;35;.;.;268;.;.
2019;36119;Westchester County, NY;365;309;55;1;.;.;.;105;55;38;.;.;255;110;.
