"County Code","County","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","Hazardous","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days PM2.5","# Days PM10"
"36001","Albany County, NY","365","235","127","3",".",".",".","143","60","42",".",".","108","257","."
"36005","Bronx County, NY","366","229","136","1",".",".",".","108","64","45",".","12","120","234","."
"36013","Chautauqua County, NY","363","332","31",".",".",".",".","93","49","36",".",".","336","27","."
"36027","Dutchess County, NY","331","322","9",".",".",".",".","87","45","35",".",".","331",".","."
"36029","Erie County, NY","366","278","86",".","2",".",".","157","57","41",".","2","148","216","."
"36031","Essex County, NY","365","344","21",".",".",".",".","80","48","39",".",".","349","16","."
"36041","Hamilton County, NY","357","354","3",".",".",".",".","54","44","34",".",".","357",".","."
"36045","Jefferson County, NY","360","345","15",".",".",".",".","90","44","33",".",".","360",".","."
"36047","Kings County, NY","365","300","65",".",".",".",".","80","55","30",".",".",".","365","."
"36055","Monroe County, NY","366","275","91",".",".",".",".","81","58","40.5",".",".","159","207","."
"36059","Nassau County, NY","361","317","44",".",".",".",".","75","52","27",".",".",".","361","."
"36061","New York County, NY","366","258","107","1",".",".",".","108","61","40","2",".","168","196","."
"36063","Niagara County, NY","359","340","19",".",".",".",".","87","46","34",".",".","359",".","."
"36065","Oneida County, NY","349","324","25",".",".",".",".","81","48","21",".",".",".","349","."
"36067","Onondaga County, NY","364","300","64",".",".",".",".","74","54","37",".",".","207","157","."
"36071","Orange County, NY","366","307","59",".",".",".",".","97","54","38",".",".","200","166","."
"36075","Oswego County, NY","359","349","10",".",".",".",".","58","44","33",".",".","359",".","."
"36079","Putnam County, NY","314","308","6",".",".",".",".","64","44","33",".",".","314",".","."
"36081","Queens County, NY","366","258","105","3",".",".",".","140","64","43",".","23","168","175","."
"36085","Richmond County, NY","364","280","82","2",".",".",".","108","57","39",".",".","169","195","."
"36087","Rockland County, NY","366","319","47",".",".",".",".","93","53","36",".",".","243","123","."
"36091","Saratoga County, NY","319","315","4",".",".",".",".","61","44","33",".",".","319",".","."
"36101","Steuben County, NY","365","330","35",".",".",".",".","81","49","36",".",".","245","120","."
"36103","Suffolk County, NY","366","282","78","6",".",".",".","133","63","40",".",".","243","123","."
"36109","Tompkins County, NY","364","359","5",".",".",".",".","64","44","34",".",".","364",".","."
"36117","Wayne County, NY","327","305","22",".",".",".",".","80","46","34",".",".","327",".","."
"36119","Westchester County, NY","363","305","57","1",".",".",".","105","55","38",".",".","246","117","."
