year,code,city,days_with_aqi,good,moderate,unhealthy_t,very_unhealthy,hazardous,aqi_maximum,days_co,days_no2,days_o3,days_pm205,days_pm10
2023,36001,Albany County- NY,365,245,113,7,0,0,186,0,0,108,257,0
2023,36005,Bronx County- NY,365,197,159,8,1,0,253,0,23,101,241,0
2023,36013,Chautauqua County- NY,363,322,36,5,0,0,133,0,0,334,29,0
2023,36027,Dutchess County- NY,347,333,13,1,0,0,108,0,0,347,0,0
2023,36029,Erie County- NY,365,198,159,8,0,0,176,0,3,79,283,0
2023,36031,Essex County- NY,365,296,59,10,0,0,161,0,0,312,53,0
2023,36041,Hamilton County- NY,354,337,17,0,0,0,90,0,0,354,0,0
2023,36045,Jefferson County- NY,362,344,17,1,0,0,101,0,0,362,0,0
2023,36047,Kings County- NY,364,207,152,4,1,0,249,0,0,0,364,0
2023,36055,Monroe County- NY,365,237,120,8,0,0,176,0,0,121,244,0
2023,36059,Nassau County- NY,365,275,86,4,0,0,197,0,0,0,365,0
2023,36061,New York County- NY,365,194,162,8,1,0,208,0,0,130,235,0
2023,36063,Niagara County- NY,356,335,21,0,0,0,97,0,0,356,0,0
2023,36065,Oneida County- NY,351,275,70,6,0,0,190,0,0,0,351,0
2023,36067,Onondaga County- NY,361,273,80,7,1,0,258,0,0,170,191,0
2023,36071,Orange County- NY,357,270,81,6,0,0,185,0,0,0,357,0
2023,36075,Oswego County- NY,356,341,14,1,0,0,105,0,0,356,0,0
2023,36079,Putnam County- NY,350,334,13,3,0,0,140,0,0,350,0,0
2023,36081,Queens County- NY,365,188,165,11,1,0,278,0,21,102,242,0
2023,36085,Richmond County- NY,364,255,101,7,1,0,227,0,0,161,203,0
2023,36087,Rockland County- NY,363,288,66,9,0,0,197,0,0,216,147,0
2023,36091,Saratoga County- NY,365,352,12,1,0,0,122,0,0,365,0,0
2023,36101,Steuben County- NY,365,274,83,7,1,0,256,0,0,205,160,0
2023,36103,Suffolk County- NY,365,278,74,13,0,0,195,0,0,274,91,0
2023,36109,Tompkins County- NY,357,332,25,0,0,0,100,0,0,357,0,0
2023,36117,Wayne County- NY,348,328,17,3,0,0,112,0,0,348,0,0
2023,36119,Westchester County- NY,365,287,71,7,0,0,198,0,0,216,149,0
2022,36001,Albany County- NY,365,276,89,0,0,0,88,0,0,163,202,0
2022,36005,Bronx County- NY,365,225,139,1,0,0,101,0,25,129,211,0
2022,36013,Chautauqua County- NY,355,322,29,4,0,0,140,0,0,330,25,0
2022,36027,Dutchess County- NY,341,321,20,0,0,0,97,0,0,341,0,0
2022,36029,Erie County- NY,365,238,125,2,0,0,150,0,4,107,254,0
2022,36031,Essex County- NY,365,342,21,2,0,0,115,0,0,338,27,0
2022,36041,Hamilton County- NY,350,345,5,0,0,0,71,0,0,350,0,0
