location_id,zone,borough_id,service_zone_id
1,Newark Airport,1,1
2,Jamaica Bay,2,2
3,Allerton/Pelham Gardens,3,2
4,Alphabet City,4,3
5,Arden Heights,5,2
6,Arrochar/Fort Wadsworth,5,2
7,Astoria,2,2
8,Astoria Park,2,2
9,Auburndale,2,2
10,Baisley Park,2,2
11,Bath Beach,6,2
12,Battery Park,4,3
13,Battery Park City,4,3
14,Bay Ridge,6,2
15,Bay Terrace/Fort Totten,2,2
16,Bayside,2,2
17,Bedford,6,2
18,Bedford Park,3,2
19,Bellerose,2,2
20,Belmont,3,2
21,Bensonhurst East,6,2
22,Bensonhurst West,6,2
23,Bloomfield/Emerson Hill,5,2
24,Bloomingdale,4,3
25,Boerum Hill,6,2
26,Borough Park,6,2
27,Breezy Point/Fort Tilden/Riis Beach,2,2
28,Briarwood/Jamaica Hills,2,2
29,Brighton Beach,6,2
30,Broad Channel,2,2
31,Bronx Park,3,2
32,Bronxdale,3,2
33,Brooklyn Heights,6,2
34,Brooklyn Navy Yard,6,2
35,Brownsville,6,2
36,Bushwick North,6,2
37,Bushwick South,6,2
38,Cambria Heights,2,2
39,Canarsie,6,2
40,Carroll Gardens,6,2
41,Central Harlem,4,2
42,Central Harlem North,4,2
43,Central Park,4,3
44,Charleston/Tottenville,5,2
45,Chinatown,4,3
46,City Island,3,2
47,Claremont/Bathgate,3,2
48,Clinton East,4,3
49,Clinton Hill,6,2
50,Clinton West,4,3
51,Co-Op City,3,2
52,Cobble Hill,6,2
53,College Point,2,2
54,Columbia Street,6,2
55,Coney Island,6,2
56,Corona,2,2
57,Corona,2,2
58,Country Club,3,2
59,Crotona Park,3,2
60,Crotona Park East,3,2
61,Crown Heights North,6,2
62,Crown Heights South,6,2
63,Cypress Hills,6,2
64,Douglaston,2,2
65,Downtown Brooklyn/MetroTech,6,2
66,DUMBO/Vinegar Hill,6,2
67,Dyker Heights,6,2
68,East Chelsea,4,3
69,East Concourse/Concourse Village,3,2
70,East Elmhurst,2,2
71,East Flatbush/Farragut,6,2
72,East Flatbush/Remsen Village,6,2
73,East Flushing,2,2
74,East Harlem North,4,2
75,East Harlem South,4,2
76,East New York,6,2
77,East New York/Pennsylvania Avenue,6,2
78,East Tremont,3,2
79,East Village,4,3
80,East Williamsburg,6,2
81,Eastchester,3,2
82,Elmhurst,2,2
83,Elmhurst/Maspeth,2,2
84,Eltingville/Annadale/Prince's Bay,5,2
85,Erasmus,6,2
86,Far Rockaway,2,2
87,Financial District North,4,3
88,Financial District South,4,3
89,Flatbush/Ditmas Park,6,2
90,Flatiron,4,3
91,Flatlands,6,2
92,Flushing,2,2
93,Flushing Meadows-Corona Park,2,2
94,Fordham South,3,2
95,Forest Hills,2,2
96,Forest Park/Highland Park,2,2
97,Fort Greene,6,2
98,Fresh Meadows,2,2
99,Freshkills Park,5,2
100,Garment District,4,3
101,Glen Oaks,2,2
102,Glendale,2,2
103,Governor's Island/Ellis Island/Liberty Island,4,3
104,Governor's Island/Ellis Island/Liberty Island,4,3
105,Governor's Island/Ellis Island/Liberty Island,4,3
106,Gowanus,6,2
107,Gramercy,4,3
108,Gravesend,6,2
109,Great Kills,5,2
110,Great Kills Park,5,2
111,Green-Wood Cemetery,6,2
112,Greenpoint,6,2
113,Greenwich Village North,4,3
