date,industry,total_trips,unique_vehicles,total_amount,avg_trip_distance,avg_hours_per_day_per_driver,total_co2_emission,days_in_month
2021-01-01,FHV - High Volume,11902481,47594,191768840.69,3.64,6.8,17332.2978,31
2021-01-01,Yellow Taxi,1365612,4625,21353048.0,2.43,7.3,1326.4672,31
2021-01-01,Green Taxi,76477,982,1748679.0,3.46,4.0,105.8211,31
2021-01-01,FHV - Other,1142350,10128,,3.63,3.8,1660.0704,31
2021-01-01,Total Mercado,14486920,63329,214870567.69,3.29,5.475,20424.6565,31
2021-02-01,FHV - High Volume,11613896,47272,207024499.21,3.6,7.1,16725.9304,28
2021-02-01,Yellow Taxi,1357972,4496,21143108.0,2.4,7.6,1301.0696,28
2021-02-01,Green Taxi,64540,881,1463728.0,3.44,4.1,88.7261,28
2021-02-01,FHV - Other,1037372,9529,,3.53,3.93,1465.1055,28
2021-02-01,Total Mercado,14073780,62178,229631335.21,3.2424999999999997,5.682499999999999,19580.8316,28
2021-03-01,FHV - High Volume,14227326,51761,262411021.64,3.75,7.0,21314.8925,31
2021-03-01,Yellow Taxi,1910933,4719,30353712.0,2.45,7.9,1872.3436,31
2021-03-01,Green Taxi,83793,932,1934896.0,3.56,4.4,119.2732,31
2021-03-01,FHV - Other,1349926,10371,,3.67,3.97,1981.5166,31
2021-03-01,Total Mercado,17571978,67783,294699629.64,3.3575,5.817500000000001,25288.0259,31
2021-04-01,FHV - High Volume,14111310,53748,279270077.54,3.77,6.9,21265.8088,30
2021-04-01,Yellow Taxi,2159580,4924,35485350.0,2.51,8.1,2168.2477,30
2021-04-01,Green Taxi,86910,928,2036790.0,3.61,4.3,125.6026,30
2021-04-01,FHV - Other,1303380,10784,,3.9,3.93,2034.3648,30
2021-04-01,Total Mercado,17661180,70384,316792217.54,3.4475,5.8075,25594.0239,30
2021-05-01,FHV - High Volume,14719079,56112,315116535.63,3.86,6.9,22702.1115,31
2021-05-01,Yellow Taxi,2506722,5238,42032528.0,2.57,8.2,2574.6176,31
