ds,yhat,yhat_lower,yhat_upper,industry,column
2021-01-01,12394642.910409007,11927991.216668775,12881597.639974356,FHV - High Volume,total_trips
2021-02-01,12554400.527231574,12069845.864289852,13026602.07010965,FHV - High Volume,total_trips
2021-03-01,14337207.283426126,13882160.030961169,14797676.113511616,FHV - High Volume,total_trips
2021-04-01,13834103.039421504,13350622.187067837,14283684.044656789,FHV - High Volume,total_trips
2021-05-01,14518872.668372763,14078641.385353152,14965963.836691331,FHV - High Volume,total_trips
2021-06-01,14480280.632579628,14003319.453414518,14947358.40220558,FHV - High Volume,total_trips
2021-07-01,14385057.62968216,13890088.723216282,14847201.02522803,FHV - High Volume,total_trips
2021-08-01,14270612.549667196,13812067.833343254,14732254.020426529,FHV - High Volume,total_trips
2021-09-01,15150941.093131628,14689474.831575766,15620480.697473235,FHV - High Volume,total_trips
2021-10-01,16193402.39666434,15736753.660280587,16654046.241046326,FHV - High Volume,total_trips
2021-11-01,15660221.38098251,15167194.488534302,16156984.605217112,FHV - High Volume,total_trips
2021-12-01,16592577.384209689,16062264.773961687,17065705.871898055,FHV - High Volume,total_trips
2022-01-01,15776997.07311852,15315709.851501746,16204131.918929908,FHV - High Volume,total_trips
2022-02-01,15917618.98581792,15425723.137942802,16350781.592962544,FHV - High Volume,total_trips
2022-03-01,18096158.293873858,17591885.68392289,18583316.585713085,FHV - High Volume,total_trips
2022-04-01,17373472.191923924,16895838.522647377,17852533.255217873,FHV - High Volume,total_trips
2022-05-01,18047119.22572513,17591077.681749277,18533697.80592938,FHV - High Volume,total_trips
2022-06-01,17810032.450507227,17356643.75667249,18275069.869537547,FHV - High Volume,total_trips
2022-07-01,17527491.59540932,17050414.91863264,18006757.541938804,FHV - High Volume,total_trips
2022-08-01,17229296.801394075,16735715.48075758,17701365.5282949,FHV - High Volume,total_trips
2022-09-01,18131317.230826367,17644068.208513234,18636596.18173909,FHV - High Volume,total_trips
2022-10-01,19193346.669329733,18703412.54193569,19662620.329708707,FHV - High Volume,total_trips
2022-11-01,18391028.28155267,17916085.071481317,18890509.55943565,FHV - High Volume,total_trips
2022-12-01,19322120.9156379,18851701.69909985,19788558.74946348,FHV - High Volume,total_trips
2023-01-01,18220234.691291485,17763071.720156193,18700425.640129976,FHV - High Volume,total_trips
2023-02-01,18137991.27005397,17654172.5898959,18582201.212044764,FHV - High Volume,total_trips
2023-03-01,20352593.17703433,19847678.13920821,20813491.42985816,FHV - High Volume,total_trips
2023-04-01,19263100.907788165,18778037.16020279,19797722.95275734,FHV - High Volume,total_trips
2023-05-01,19866174.58531114,19404465.44919832,20337654.92561802,FHV - High Volume,total_trips
2023-06-01,19456853.73022893,18957153.402832884,19916769.750142224,FHV - High Volume,total_trips
2023-07-01,19019864.584573667,18534146.44061756,19498665.328074053,FHV - High Volume,total_trips
2023-08-01,18572976.371661235,18112086.813933823,19049851.94506638,FHV - High Volume,total_trips
2023-09-01,19418342.68536432,18926427.57646847,19894070.31335692,FHV - High Volume,total_trips
2023-10-01,20400802.01305567,19923831.676705185,20875888.630083542,FHV - High Volume,total_trips
2023-11-01,19407733.670194626,18915022.644014448,19859992.713234045,FHV - High Volume,total_trips
2023-12-01,20253630.53430603,19779248.155855663,20737665.07824272,FHV - High Volume,total_trips
2024-01-01,18973208.355474222,18516566.816520985,19473217.80962765,FHV - High Volume,total_trips
2024-02-01,18903052.028099943,18446673.89008065,19385161.93033226,FHV - High Volume,total_trips
2024-03-01,21180359.276119143,20702147.426210374,21654811.87854652,FHV - High Volume,total_trips
2024-04-01,20068018.454593662,19598376.818127733,20560720.876077205,FHV - High Volume,total_trips
2024-05-01,20692756.0909398,20223052.74783597,21167599.0443392,FHV - High Volume,total_trips
2024-06-01,20279830.27324956,19780877.0338234,20781964.287871063,FHV - High Volume,total_trips
2024-07-01,19806070.500458702,19334251.47837949,20256752.581364363,FHV - High Volume,total_trips
2024-08-01,19308536.215228926,18838266.17830025,19769423.902225666,FHV - High Volume,total_trips
2024-09-01,20151421.83121455,19696282.09750288,20613724.044162065,FHV - High Volume,total_trips
2024-10-01,21220333.72560669,20739504.990182444,21695734.27902224,FHV - High Volume,total_trips
2024-11-01,20208587.382262487,19751115.378900297,20677120.71305098,FHV - High Volume,total_trips
2024-12-01,21096992.7323523,20633779.060529403,21610309.190864425,FHV - High Volume,total_trips
2025-01-01,19759570.082692485,19268312.03465413,20240507.86898833,FHV - High Volume,total_trips
2025-02-01,19622681.00527527,19137906.80747408,20118857.90023023,FHV - High Volume,total_trips
2025-03-01,22022448.139310155,21539083.880827088,22519555.335808672,FHV - High Volume,total_trips
2025-04-01,20853603.050409,20353943.27032176,21360952.42811786,FHV - High Volume,total_trips
2025-05-01,21500464.98090922,20966038.6578468,22030569.60359684,FHV - High Volume,total_trips
2025-06-01,21062501.153582856,20534655.003437825,21577579.514688827,FHV - High Volume,total_trips
2025-07-01,20572655.72266134,20041619.747359727,21154323.809328534,FHV - High Volume,total_trips
2025-08-01,20063045.43300316,19511971.353270225,20636488.730306003,FHV - High Volume,total_trips
2025-09-01,20948426.351411287,20399637.58187787,21527901.70380973,FHV - High Volume,total_trips
2025-10-01,22039639.837177,21434438.515080344,22649115.196993,FHV - High Volume,total_trips
2025-11-01,20977076.365551643,20369768.424535472,21629163.3919514,FHV - High Volume,total_trips
2025-12-01,21893458.151699144,21222227.00685486,22524628.70169139,FHV - High Volume,total_trips
2026-01-01,20502313.723046307,19871468.492673226,21180938.92556928,FHV - High Volume,total_trips
2026-02-01,20378833.76846621,19741982.54151856,21098443.819900896,FHV - High Volume,total_trips
2026-03-01,22864035.829141542,22127097.50489208,23646510.563452903,FHV - High Volume,total_trips
2026-04-01,21638850.70667496,20872911.41228311,22470721.78769298,FHV - High Volume,total_trips
2026-05-01,22307522.87014004,21530349.176149853,23199247.72151451,FHV - High Volume,total_trips
