date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared
2024-08-01,FHV - High Volume,617043,,81306,80570,55030,21.2,6.3,21.3,6.3,19.0,,10185.0
2024-08-01,Green Taxi,1654,38632,728,694,394,17.6,3.5,17.0,3.4,14.9,0.72,
2024-08-01,Yellow Taxi,94732,2360656,12276,9125,7822,26.6,7.6,22.6,6.6,16.2,0.81,
2024-07-01,FHV - High Volume,618802,,82125,81319,56458,21.5,6.2,21.6,6.1,19.0,,9126.0
2024-07-01,Green Taxi,1658,36958,747,712,394,17.2,3.5,16.6,3.4,14.6,0.72,
2024-07-01,Yellow Taxi,97929,2423487,12353,9144,7779,26.4,7.7,22.4,6.7,16.1,0.82,
2024-06-01,FHV - High Volume,670772,,83794,82824,58798,21.3,6.5,21.4,6.4,20.0,,9431.0
2024-06-01,Green Taxi,1805,40375,750,713,399,16.8,3.6,16.2,3.6,15.0,0.72,
2024-06-01,Yellow Taxi,116772,2877406,12538,9146,7945,26.1,8.4,21.9,7.2,16.6,0.84,
2024-05-01,FHV - High Volume,667886,,84900,83944,60900,22.5,6.5,22.6,6.4,21.0,,9160.0
2024-05-01,Green Taxi,1946,42958,752,719,424,18.3,3.7,17.7,3.6,15.3,0.72,
2024-05-01,Yellow Taxi,118819,2971875,12487,9121,8052,27.4,8.4,23.2,7.3,17.0,0.83,
2024-04-01,FHV - High Volume,657765,,84517,83683,59194,21.2,6.4,21.4,6.3,19.0,,9034.0
2024-04-01,Green Taxi,1879,39453,734,713,405,17.1,3.6,16.8,3.6,14.3,0.72,
2024-04-01,Yellow Taxi,115813,2803037,12242,9050,7823,25.9,8.3,22.0,7.2,16.0,0.84,
2024-03-01,FHV - High Volume,686479,,84901,83966,60502,22.3,6.5,22.5,6.4,19.0,,9337.0
2024-03-01,Green Taxi,1853,38304,786,750,418,17.3,3.5,16.7,3.5,14.2,0.7,
2024-03-01,Yellow Taxi,114353,2731140,12020,8920,7698,26.8,8.4,22.9,7.2,15.6,0.84,
2024-02-01,FHV - High Volume,667560,,84133,83713,59104,20.5,6.5,20.7,6.4,19.0,,8667.0
2024-02-01,Green Taxi,1847,37789,800,769,419,15.8,3.5,15.4,3.5,14.0,0.71,
2024-02-01,Yellow Taxi,102708,2389780,11739,8805,7449,24.5,8.1,21.1,7.0,14.9,0.83,
2024-01-01,FHV - High Volume,634329,,84472,83785,57144,21.1,6.4,21.4,6.3,18.0,,7341.0
2024-01-01,Green Taxi,1824,37028,829,797,424,16.5,3.5,16.1,3.4,13.9,0.7,
2024-01-01,Yellow Taxi,94742,2219025,11838,8795,7222,25.5,7.7,21.7,6.7,14.6,0.82,
2023-12-01,FHV - High Volume,661815,,84911,82379,58687,22.1,6.5,21.9,6.4,20.0,,6264.0
2023-12-01,Green Taxi,2071,45896,860,825,469,17.6,3.5,17.2,3.5,15.8,0.69,
2023-12-01,Yellow Taxi,108202,2710488,12340,8841,7551,26.5,8.2,22.2,7.0,17.0,0.81,
2023-11-01,FHV - High Volume,642308,,84091,80871,58734,21.8,6.4,21.5,6.3,20.0,,6538.0
2023-11-01,Green Taxi,2133,46814,876,837,486,17.4,3.5,16.9,3.5,15.7,0.7,
2023-11-01,Yellow Taxi,110643,2777387,12257,8751,7622,26.1,8.4,22.0,7.1,17.0,0.82,
2023-10-01,FHV - High Volume,651179,,83792,80346,58055,22.4,6.5,22.0,6.4,20.0,,6343.0
2023-10-01,Green Taxi,2135,48179,900,861,491,17.7,3.5,17.2,3.4,16.0,0.69,
2023-10-01,Yellow Taxi,112959,2889001,12232,8662,7548,27.0,8.5,22.6,7.2,17.2,0.82,
2023-09-01,FHV - High Volume,661698,,82812,79448,56923,21.5,6.6,21.1,6.5,21.0,,5991.0
2023-09-01,Green Taxi,2181,52570,899,855,485,17.0,3.6,16.3,3.5,16.4,0.7,
2023-09-01,Yellow Taxi,94351,2473575,11818,8495,6689,23.6,8.0,19.7,6.9,17.8,0.81,
2023-08-01,FHV - High Volume,591032,,80823,77520,54179,21.7,6.4,21.3,6.2,19.0,,4485.0
2023-08-01,Green Taxi,1957,44903,886,853,471,17.1,3.4,16.7,3.4,15.2,0.68,
2023-08-01,Yellow Taxi,90485,2282461,11442,8341,6933,25.8,7.8,21.7,6.7,15.9,0.79,
2023-07-01,FHV - High Volume,617161,,80592,77346,53969,21.6,6.4,21.2,6.3,19.0,,4795.0
2023-07-01,Green Taxi,1978,43964,882,850,464,16.9,3.4,16.5,3.4,14.9,0.67,
