date,industry,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,percent_of_trips_paid_with_credit_card,trips_per_day_shared,total_trips,passenger_count,avg_trip_distance,avg_trip_duration,total_amount,shared_match_flag,days_in_month,farebox_per_day_per_distance,total_co2_emission
2021-01-01,FHV - High Volume,383951,6186091.64,47623,47594,28584,18.6,6.9,18.7,6.8,,38.0,11902481,,3.64,15.85,191768840.69,1178.0,31,1699251.6269,17332.2978
2021-01-01,FHV - Other,36850,,10255,10128,5402,14.7,3.83,14.63,3.8,,,1142350,,3.63,19.4,,,31,,1660.0704
2021-01-01,Green Taxi,2467,56409.0,991,982,491,15.5,4.1,15.5,4.0,0.79,122.38709677419355,76477,47164.0,3.46,17.05,1748679.0,3794.0,31,16306.7407,105.8211
2021-01-01,Yellow Taxi,44052,688808.0,5396,4625,3256,21.8,7.5,19.4,7.3,0.75,8762.935483870968,1365612,1752377.0,2.43,11.6,21353048.0,271651.0,31,283654.0383,1326.4672
2021-02-01,FHV - High Volume,414782,7393732.11,47208,47272,28639,17.0,7.1,17.1,7.1,,48.0,11613896,,3.6,16.81,207024499.21,1344.0,28,2053578.6945,16725.9304
2021-02-01,FHV - Other,37049,,9628,9529,5144,13.53,4.0,13.53,3.93,,,1037372,,3.53,20.33,,,28,,1465.1055
2021-02-01,Green Taxi,2305,52276.0,904,881,446,14.2,4.1,13.9,4.1,0.79,120.60714285714286,64540,40916.0,3.44,18.53,1463728.0,3377.0,28,15210.376,88.7261
2021-02-01,Yellow Taxi,48499,755111.0,5276,4496,3182,19.8,7.9,17.6,7.6,0.76,9723.67857142857,1357972,1743546.0,2.4,12.44,21143108.0,272263.0,28,315254.3324,1301.0696
2021-03-01,FHV - High Volume,458946,8464871.67,52123,51761,31639,18.9,7.1,19.0,7.0,,167.0,14227326,,3.75,17.16,262411021.64,5177.0,31,2260062.7926,21314.8925
2021-03-01,FHV - Other,43546,,10493,10371,5937,15.97,4.0,16.0,3.97,,,1349926,,3.67,20.94,,,31,,1981.5166
2021-03-01,Green Taxi,2703,62416.0,952,932,483,16.1,4.4,15.9,4.4,0.79,156.03225806451613,83793,52698.0,3.56,18.52,1934896.0,4837.0,31,17539.6508,119.2732
2021-03-01,Yellow Taxi,61643,979152.0,5765,4719,3652,24.0,8.3,20.6,7.9,0.76,12483.709677419354,1910933,2430573.0,2.45,12.33,30353712.0,386995.0,31,399733.002,1872.3436
