Model Year,Manufacturer,Model,Category,Fuel,Seats,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,PHEV Type,Total Range,All-Electric Range,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles per hour of charging),Charging Speed Level 2 (miles per hour of charging),Charging Speed DC Fast (miles per hour of charging),Battery Capacity (kWh),Transmission Type,Transmission Make,Engine Type,Engine Size,Engine Cylinder Count,Number of Passengers,Heavy-Duty Power System,Drivetrain,Notes
2025,Audi,A4 quattro/S-Line/Allroad,Sedan/Wagon,Hybrid Electric,"","","","","","",26-29,,"","","","","","","",,,,SI,2.0L,4,,,AWD,Includes Allroad and S-Line models
2025,Audi,A5 Sportback quattro,Sedan/Wagon,Hybrid Electric,"","","","","","",26-29,,"","","","","","","",,,,SI,2.0L,4,,,AWD,Includes S-Line model
2025,Audi,A6 quattro,Sedan/Wagon,Hybrid Electric,"","","","",24,31,26,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,Audi,A6 quattro/Allroad,Sedan/Wagon,Hybrid Electric,"","","","",22,30,25,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,Audi,A7 quattro,Sedan/Wagon,Hybrid Electric,"","","","",22,30,25,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,Audi,A8 quattro,Sedan/Wagon,Hybrid Electric,"","","","",20,26,22,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,Audi,Q4 45 e-tron,SUV,Electric,5,125,104,115,"","","",,"",288,11,150,3,31,282,81.6,,,e-motor,210 kW,,,,RWD,""
2025,Audi,Q5 quattro/Sportback/S-Line,SUV,Hybrid Electric,"","","","","","",25-26,,"","","","","","","",,,,SI,2.0L,4,,,AWD,Includes S-Line and Sportback S-Line models
2025,Audi,Q6 e-tron quattro,SUV,Electric,"","","",95-99,"","","",,"",295-307,"","","","","",100.0,,,e-motor,140 and 280 kW,,,,AWD,""
2025,Audi,Q7,SUV,Hybrid Electric,"","","","",18,23,20,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,Audi,Q8 e-tron quattro,SUV,Electric,5,"","",74-78,"","","",,"",254-272,9.6-19.2,170,3,44,315,114.3,,,e-motor,141 and 172 kW,,,,AWD,""
2025,Audi,Q8 quattro,SUV,Hybrid Electric,"","","","",17,23,19,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,Audi,Q8 Sportback e-tron quattro,SUV,Electric,5,"","",74-78,"","","",,"",254-272,9.6-19.2,170,3,44,315,114.3,,,e-motor,141 and 172 kW,,,,AWD,""
2025,Audi,RS 6 Avant,Sedan/Wagon,Hybrid Electric,"","","","",14,21,17,,"","","","","","","",,,,SI,4.0L,8,,,AWD,""
2025,Audi,RS7,Sedan/Wagon,Hybrid Electric,"","","","",14,21,17,,"","","","","","","",,,,SI,4.0L,8,,,AWD,""
2025,Audi,RS Q8 Performance,SUV,Hybrid Electric,"","","","",14,20,16,,"","","","","","","",,,,SI,4.0L,8,,,AWD,""
2025,Audi,S6,Sedan/Wagon,Hybrid Electric,"","","","",19,27,22,,"","","","","","","",,,,SI,2.9L,6,,,AWD,""
2025,Audi,S7,Sedan/Wagon,Hybrid Electric,"","","","",19,27,22,,"","","","","","","",,,,SI,2.9L,6,,,AWD,""
2025,Audi,S8,Sedan/Wagon,Hybrid Electric,"","","","",15,24,18,,"","","","","","","",,,,SI,4.0L,8,,,AWD,""
2025,Audi,SQ6 e-tron,SUV,Electric,"",96,82,89,"","","",,"",275,"","","","","",100.0,,,e-motor,140 kW (x2),,,,AWD,""
2025,Audi,SQ8 e-tron,SUV,Electric,"","","",60-70,"","","",,"",208-242,"","","","","",114.3,,,e-motor,138 and 157 kW,,,,AWD,"Includes models with 20"", 21"", and 22"" wheels"
2025,Audi,SQ8 Sportback e-tron,SUV,Electric,"","","",60-70,"","","",,"",208-242,"","","","","",114.3,,,e-motor,138 and 157 kW,,,,AWD,"Includes models with 20"", 21"", and 22"" wheels"
2025,BMW,330i Sedan,Sedan/Wagon,Hybrid Electric,"","","","",28,35,31,,"","","","","","","",,,,SI,2.0L,4,,,RWD,""
2025,BMW,330i xDrive Sedan,Sedan/Wagon,Hybrid Electric,"","","","",26,34,29,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,BMW,430i Coupe/Convertible,Sedan/Wagon,Hybrid Electric,"","","","","","",30-31,,"","","","","","","",,,,SI,2.0L,4,,,RWD,"Includes Coupe, Gran Coupe, and Convertible models"
2025,BMW,430i xDrive Coupe/Convertible,Sedan/Wagon,Hybrid Electric,"","","","","","",28-30,,"","","","","","","",,,,SI,2.0L,4,,,AWD,"Includes Coupe, Gran Coupe, and Convertible models"
2025,BMW,530i Sedan,Sedan/Wagon,Hybrid Electric,"","","","",28,35,31,,"","","","","","","",,,,SI,2.0L,4,,,RWD,""
2025,BMW,530i xDrive Sedan,Sedan/Wagon,Hybrid Electric,"","","","",27,35,30,,"","","","","","","",,,,SI,2.0L,4,,,AWD,""
2025,BMW,540i xDrive Sedan,Sedan/Wagon,Hybrid Electric,"","","","",26,33,28,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,BMW,740i  Sedan,Sedan/Wagon,Hybrid Electric,"","","","",25,31,28,,"","","","","","","",,,,SI,3.0L,6,,,RWD,""
2025,BMW,740i  xDrive Sedan,Sedan/Wagon,Hybrid Electric,"","","","",24,31,27,,"","","","","","","",,,,SI,3.0L,6,,,AWD,""
2025,BMW,760i xDrive Sedan,Sedan/Wagon,Hybrid Electric,"","","","",18,25,20,,"","","","","","","",,,,SI,4.4L,8,,,AWD,""
2025,BMW,Alpina XB7,SUV,Hybrid Electric,"","","","",16,20,17,,"","","","","","","",,,,SI,4.4L,8,,,AWD,""
2025,BMW,i4 eDrive35 Gran Coupe,Sedan/Wagon,Electric,"","","",106-118,"","","",,"",244-266,11,195,4,33,463,84.2,,,e-motor,250 kW,,,,RWD,"Includes models with 18 and 19"" wheels"
2025,BMW,i4 eDrive40 Gran Coupe,Sedan/Wagon,Electric,5,"","",104-112,"","","",,"",295-318,11,195,4,33,463,84.2,,,e-motor,250 kW,,,,RWD,"Includes models with 18"" and 19"" wheels"
2025,BMW,i4 M50 Gran Coupe,Sedan/Wagon,Electric,5,"","",80-94,"","","",,"",227-267,11,196,4,33,463,105.7,,,e-motor,190 and 230 kW ,,,,4WD,"Includes models with 19"" and 20"" wheels"
2025,BMW,i4 xDrive40 Gran Coupe,Sedan/Wagon,Electric,5,"","",94-101,"","","",,"",268-287,11,195,4,33,463,105.7,,,e-motor,190 and 230 kW ,,,,AWD,"Includes models with 18"" and 19"" wheels"
