indicator_id,name,measure,geo_type_name,geo_join_id,data_value,geo_place_name,measure_info,time_period,message,start_date,unique_id
365,Fine particles (PM 2.5),Mean,Borough,4,9.8,Queens,mcg/m3,Annual Average 2011,,2010-12-01T00:00:00.000,179656
375,Nitrogen dioxide (NO2),Mean,CD,305,11.6,East New York and Starrett City (CD5),ppb,Summer 2018,,2018-06-01T00:00:00.000,603018
375,Nitrogen dioxide (NO2),Mean,CD,105,37.1,Midtown (CD5),ppb,Annual Average 2014,,2013-12-01T00:00:00.000,213581
365,Fine particles (PM 2.5),Mean,UHF42,406,7.6,Fresh Meadows,mcg/m3,Winter 2017-18,,2017-12-01T00:00:00.000,605764
375,Nitrogen dioxide (NO2),Mean,CD,409,19.5,Kew Gardens and Woodhaven (CD9),ppb,Annual Average 2015,,2015-01-01T00:00:00.000,336871
375,Nitrogen dioxide (NO2),Mean,UHF34,210,16.1,Coney Island - Sheepshead Bay,ppb,Annual Average 2017,,2017-01-01T00:00:00.000,549926
643,Annual vehicle miles traveled,Million miles,CD,303,69.4,Bedford Stuyvesant (CD3),per square mile,2005,,2005-01-01T00:00:00.000,154586
375,Nitrogen dioxide (NO2),Mean,CD,304,27.7,Bushwick (CD4),ppb,Winter 2019-20,,2019-12-01T00:00:00.000,667682
365,Fine particles (PM 2.5),Mean,UHF42,209,8.1,Bensonhurst - Bay Ridge,mcg/m3,Annual Average 2015,,2015-01-01T00:00:00.000,333997
365,Fine particles (PM 2.5),Mean,CD,410,7.8,South Ozone Park and Howard Beach (CD10),mcg/m3,Summer 2021,,2021-06-01T00:00:00.000,742547
375,Nitrogen dioxide (NO2),Mean,CD,103,23.7,Lower East Side and Chinatown (CD3),ppb,Annual Average 2017,,2017-01-01T00:00:00.000,549998
375,Nitrogen dioxide (NO2),Mean,UHF42,102,11.6,Northeast Bronx,ppb,Summer 2022,,2022-06-01T00:00:00.000,825793
650,Respiratory hospitalizations due to PM2.5 (age 20+),Estimated annual rate,UHF42,307,8.9,Gramercy Park - Murray Hill,"per 100,000 adults",2012-2014,,2012-01-02T00:00:00.000,518816
365,Fine particles (PM 2.5),Mean,UHF42,203,6.9,Bedford Stuyvesant - Crown Heights,mcg/m3,Winter 2021-22,,2021-12-01T00:00:00.000,823299
375,Nitrogen dioxide (NO2),Mean,CD,409,10.6,Kew Gardens and Woodhaven (CD9),ppb,Summer 2022,,2022-06-01T00:00:00.000,826375
365,Fine particles (PM 2.5),Mean,Borough,2,12.6,Brooklyn,mcg/m3,Winter 2010-11,,2010-12-01T00:00:00.000,179504
375,Nitrogen dioxide (NO2),Mean,UHF42,409,12.1,Southeast Queens,ppb,Summer 2016,,2016-06-01T00:00:00.000,412536
375,Nitrogen dioxide (NO2),Mean,CD,302,21.1,Fort Greene and Brooklyn Heights (CD2),ppb,Annual Average 2018,,2018-01-01T00:00:00.000,603008
375,Nitrogen dioxide (NO2),Mean,CD,209,24.2,Parkchester and Soundview (CD9),ppb,Winter 2017-18,,2017-12-01T00:00:00.000,602995
375,Nitrogen dioxide (NO2),Mean,UHF42,407,29.2,Southwest Queens,ppb,Winter 2008-09,,2008-12-01T00:00:00.000,175283
375,Nitrogen dioxide (NO2),Mean,CD,403,21.7,Jackson Heights (CD3),ppb,Summer 2009,,2009-06-01T00:00:00.000,166668
365,Fine particles (PM 2.5),Mean,CD,305,7.0,East New York and Starrett City (CD5),mcg/m3,Annual Average 2018,,2018-01-01T00:00:00.000,605978
365,Fine particles (PM 2.5),Mean,UHF42,410,9.4,Rockaways,mcg/m3,Summer 2012,,2012-06-01T00:00:00.000,177932
375,Nitrogen dioxide (NO2),Mean,UHF42,407,18.6,Southwest Queens,ppb,Summer 2009,,2009-06-01T00:00:00.000,175913
